Core(s),# of Threads,Execution Number,μs,Seconds,Average μs
2,5,3,1773,0.001773,
2,5,4,2665,0.002666,
2,5,5,2005,0.002006,
2,5,6,2052,0.002053,1601
2,6,1,2209,0.002210,
2,6,2,11203,0.011204,
2,6,3,1841,0.001842,
2,6,4,7802,0.007802,
2,6,5,2159,0.002159,
2,6,6,1768,0.001769,4202
2,7,1,2501,0.002501,
2,7,2,1877,0.001878,
2,7,3,1965,0.001966,
2,7,4,6879,0.006879,
2,7,5,2309,0.002310,
2,7,6,2353,0.002354,2588
2,8,1,2345,0.002346,
2,8,2,2401,0.002402,
2,8,3,2369,0.002369,
2,8,4,6090,0.006090,
2,8,5,2382,0.002382,
2,8,6,2334,0.002334,2597
2,9,1,2358,0.002359,
2,9,2,2323,0.002323,
2,9,3,16305,0.016306,
2,9,4,2707,0.002707,
2,9,5,2205,0.002205,
2,9,6,4098,0.004098,4316
2,10,1,2227,0.002228,
2,10,2,4324,0.004325,
2,10,3,2507,0.002508,
2,10,4,2437,0.002438,
2,10,5,2455,0.002456,
2,10,6,2446,0.002446,2325
2,11,1,2725,0.002726,
2,11,2,2590,0.002590,
2,11,3,2624,0.002625,
2,11,4,2621,0.002621,
2,11,5,2734,0.002734,
2,11,6,2494,0.002494,2215
2,12,1,2727,0.002728,
2,12,2,2595,0.002596,
2,12,3,16692,0.016692,
2,12,4,5717,0.005717,
2,12,5,2413,0.002414,
2,12,6,2159,0.002159,5024
2,13,1,8173,0.008173,
2,13,2,2740,0.002741,
2,13,3,2636,0.002637,
2,13,4,2792,0.002792,
2,13,5,2549,0.002550,
2,13,6,4413,0.004413,3148
2,14,1,2684,0.002685,
2,14,2,2880,0.002880,
2,14,3,2743,0.002743,
2,14,4,2820,0.002820,
2,14,5,4565,0.004566,
2,14,6,6068,0.006068,2615
2,15,1,2793,0.002793,
2,15,2,2745,0.002746,
2,15,3,12963,0.012963,
2,15,4,4594,0.004595,
2,15,5,2640,0.002641,
2,15,6,2737,0.002737,4289
2,16,1,4913,0.004914,
2,16,2,2519,0.002520,
2,16,3,2444,0.002445,
2,16,4,2635,0.002635,
2,16,5,2614,0.002615,
2,16,6,4752,0.004753,2520
2,17,1,2810,0.002811,
2,17,2,5928,0.005929,
2,17,3,2427,0.002428,
2,17,4,2850,0.002851,
2,17,5,7788,0.007788,
2,17,6,2967,0.002967,3633
2,18,1,2832,0.002832,
2,18,2,2515,0.002516,
2,18,3,16195,0.016196,
2,18,4,2217,0.002218,
2,18,5,2323,0.002323,
2,18,6,2926,0.002926,4347
2,19,1,4410,0.004410,
2,19,2,2481,0.002481,
2,19,3,2751,0.002751,
2,19,4,2617,0.002617,
2,19,5,2524,0.002525,
2,19,6,2535,0.002536,2463
2,20,1,6055,0.006056,
2,20,2,2636,0.002636,
2,20,3,2631,0.002632,
2,20,4,2735,0.002736,
2,20,5,2742,0.002742,
2,20,6,2830,0.002831,2799
2,21,1,3111,0.003111,
2,21,2,2853,0.002854,
2,21,3,5209,0.005209,
2,21,4,2727,0.002728,
2,21,5,2809,0.002810,
2,21,6,3070,0.003071,2784
2,22,1,2444,0.002445,
2,22,2,5006,0.005007,
2,22,3,3047,0.003048,
2,22,4,6259,0.006259,
2,22,5,3104,0.003105,
2,22,6,3068,0.003068,3310
2,23,1,5118,0.005119,
2,23,2,3079,0.003080,
2,23,3,6280,0.006280,
2,23,4,3030,0.003031,
2,23,5,2752,0.002753,
2,23,6,12366,0.012366,3376
2,24,1,6882,0.006883,
2,24,2,2528,0.002528,
2,24,3,2828,0.002829,
2,24,4,2620,0.002621,
2,24,5,3127,0.003127,
2,24,6,2737,0.002737,2997
2,25,1,2726,0.002727,
2,25,2,2883,0.002883,
2,25,3,2989,0.002989,
2,25,4,2808,0.002808,
2,25,5,3240,0.003241,
2,25,6,2817,0.002817,2441
2,26,1,6184,0.006184,
2,26,2,2952,0.002952,
2,26,3,3030,0.003030,
2,26,4,3094,0.003095,
2,26,5,17251,0.017252,
2,26,6,5186,0.005187,5418
2,27,1,2909,0.002910,
2,27,2,4773,0.004774,
2,27,3,2964,0.002965,
2,27,4,2857,0.002857,
2,27,5,2765,0.002765,
2,27,6,2753,0.002754,2711
2,28,1,5429,0.005430,
2,28,2,2983,0.002984,
2,28,3,5054,0.005055,
2,28,4,3196,0.003197,
2,28,5,5573,0.005573,
2,28,6,3131,0.003132,3705
2,29,1,6457,0.006458,
2,29,2,3331,0.003332,
2,29,3,16076,0.016077,
2,29,4,4657,0.004658,
2,29,5,2967,0.002968,
2,29,6,2781,0.002782,5581
2,30,1,2949,0.002949,
2,30,2,2875,0.002875,
2,30,3,7003,0.007004,
2,30,4,6687,0.006688,
2,30,5,3104,0.003104,
2,30,6,10687,0.010688,3769
3,1,1,2441,0.002442,
3,1,2,2593,0.002594,
3,1,3,2409,0.002409,
3,1,4,4507,0.004508,
3,1,5,2739,0.002739,
3,1,6,2530,0.002530,2448
3,2,1,1682,0.001683,
3,2,2,1791,0.001791,
3,2,3,2137,0.002138,
3,2,4,2198,0.002198,
3,2,5,2024,0.002024,
3,2,6,1858,0.001859,1638
3,3,1,1735,0.001735,
3,3,2,1675,0.001675,
3,3,3,1310,0.001311,
3,3,4,2426,0.002427,
3,3,5,2135,0.002135,
3,3,6,1281,0.001281,1546
3,4,1,1735,0.001736,
3,4,2,1602,0.001602,
3,4,3,3710,0.003711,
3,4,4,6909,0.006910,
3,4,5,5464,0.005464,
3,4,6,1619,0.001619,3236
3,5,1,4161,0.004161,
3,5,2,1474,0.001474,
3,5,3,3158,0.003159,
3,5,4,1662,0.001662,
3,5,5,7001,0.007002,
3,5,6,11281,0.011281,2909
3,6,1,3684,0.003684,
3,6,2,7483,0.007483,
3,6,3,1945,0.001946,
3,6,4,2430,0.002430,
3,6,5,4054,0.004054,
3,6,6,1683,0.001683,3266
3,7,1,6884,0.006885,
3,7,2,9484,0.009485,
3,7,3,6305,0.006306,
3,7,4,5338,0.005338,
3,7,5,4079,0.004079,
3,7,6,7118,0.007118,5348
3,8,1,4555,0.004556,
3,8,2,1639,0.001640,
3,8,3,6127,0.006127,
3,8,4,4051,0.004052,
3,8,5,6607,0.006607,
3,8,6,2539,0.002540,3829
3,9,1,2580,0.002580,
3,9,2,2144,0.002145,
3,9,3,2430,0.002430,
3,9,4,2755,0.002756,
3,9,5,2767,0.002767,
3,9,6,2599,0.002600,2112
3,10,1,2144,0.002144,
3,10,2,6782,0.006783,
3,10,3,2039,0.002039,
3,10,4,1559,0.001559,
3,10,5,6586,0.006587,
3,10,6,5546,0.005546,3185
3,11,1,4458,0.004459,
3,11,2,5484,0.005484,
3,11,3,2104,0.002105,
3,11,4,2473,0.002473,
3,11,5,2382,0.002383,
3,11,6,2428,0.002429,2816
3,12,1,2795,0.002795,
3,12,2,2114,0.002114,
3,12,3,2263,0.002263,
3,12,4,2025,0.002026,
3,12,5,2478,0.002478,
3,12,6,3723,0.003724,1945
3,13,1,4182,0.004183,
3,13,2,9363,0.009364,
3,13,3,2943,0.002944,
3,13,4,1689,0.001690,
3,13,5,4046,0.004047,
3,13,6,1831,0.001831,3703
3,14,1,2071,0.002071,
3,14,2,2737,0.002737,
3,14,3,2924,0.002925,
3,14,4,1840,0.001840,
3,14,5,4533,0.004534,
3,14,6,1908,0.001909,2350
3,15,1,1771,0.001771,
3,15,2,2833,0.002833,
3,15,3,2085,0.002085,
3,15,4,1882,0.001882,
3,15,5,5095,0.005096,
3,15,6,2020,0.002021,2277
3,16,1,2064,0.002064,
3,16,2,2708,0.002708,
3,16,3,6995,0.006996,
3,16,4,3066,0.003067,
3,16,5,2099,0.002100,
3,16,6,2089,0.002090,2822
3,17,1,3609,0.003609,
3,17,2,2538,0.002539,
3,17,3,2017,0.002018,
3,17,4,1923,0.001924,
3,17,5,3749,0.003750,
3,17,6,1862,0.001863,2306
3,18,1,7535,0.007535,
3,18,2,1953,0.001953,
3,18,3,2400,0.002400,
3,18,4,2468,0.002468,
3,18,5,2565,0.002566,
3,18,6,4213,0.004213,2820
3,19,1,4372,0.004372,
3,19,2,2542,0.002543,
3,19,3,2465,0.002466,
3,19,4,2364,0.002365,
3,19,5,3294,0.003295,
3,19,6,6313,0.006313,2506
3,20,1,5643,0.005643,
3,20,2,2936,0.002937,
3,20,3,5603,0.005603,
3,20,4,2674,0.002675,
3,20,5,3351,0.003351,
3,20,6,5202,0.005203,3367
3,21,1,2828,0.002828,
3,21,2,2347,0.002348,
3,21,3,2981,0.002981,
